Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Treadmill Running,1/14/20 17:42,FALSE,Treadmill Running,1.03,58,07:00.6,142,150,1,168,174,6:50,6:38,--,--,1.4,0,0,0,0,0,0:00,0:00,77,0:00,No,00:10.4,2,0
Treadmill Running,1/13/20 19:43,FALSE,Treadmill Running,2.94,199,0:25:05,145,185,2.3,152,172,8:32,6:37,--,--,1.22,0,0,0,0,0,0:00,0:00,71.6,0:00,No,06:52.9,3,0
Treadmill Running,1/12/20 16:33,FALSE,Treadmill Running,8.6,621,1:00:37,169,190,4.4,166,172,7:03,6:41,--,--,1.38,0,0,0,0,0,0:00,0:00,77,0:00,No,04:59.1,9,0
Treadmill Running,1/9/20 19:31,FALSE,Treadmill Running,4.57,298,0:31:22,160,185,3.1,168,174,6:52,6:40,--,--,1.4,0,0,0,0,0,0:00,0:00,75.2,0:00,No,03:55.4,5,0
Treadmill Running,1/8/20 19:46,FALSE,Treadmill Running,4.06,284,0:28:12,166,182,3.3,166,172,6:56,6:43,--,--,1.4,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:25.5,5,0
Treadmill Running,1/4/20 14:36,FALSE,Treadmill Running,3.17,246,0:25:04,167,192,3.2,157,224,7:55,6:39,--,--,1.28,0,0,0,0,0,0:00,0:00,77,0:00,No,02:27.2,4,0
Treadmill Running,1/2/20 16:48,FALSE,Treadmill Running,4.4,313,0:35:04,155,185,3.1,155,174,7:58,6:36,--,--,1.28,0,0,0,0,0,0:00,0:00,73.4,0:00,No,05:35.2,5,0
Running,12/23/19 13:16,FALSE,Hamilton County Running,3.37,252,0:27:17,154,175,2.6,172,248,8:05,6:51,36,39,1.16,0,0,0,0,0,0:00,0:00,62.6,0:00,No,02:51.1,4,0
Treadmill Running,12/18/19 21:18,FALSE,Treadmill Running,0.68,57,0:12:14,113,119,0.3,107,121,18:02,15:42,--,--,0.83,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:00.0,1,0
Treadmill Running,12/16/19 21:36,FALSE,Treadmill Running,0.73,57,0:13:23,108,121,0.2,110,124,18:22,15:03,--,--,0.8,0,0,0,0,0,0:00,0:00,78.8,0:00,No,00:00.0,1,0
Treadmill Running,12/10/19 21:03,FALSE,Treadmill Running,1.19,50,0:15:32,96,110,0.1,122,132,13:04,11:30,--,--,1.01,0,0,0,0,0,0:00,0:00,77,0:00,No,02:31.1,2,0
